127.0.0.1 - - [20/Mar/2024:03:28:06 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [20/Mar/2024:03:28:07 +0530] "GET /SpringRevision/ HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [20/Mar/2024:03:28:07 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [20/Mar/2024:03:29:31 +0530] "GET /SpringRevision/WEB-INF/index.html HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [20/Mar/2024:03:32:07 +0530] "GET /SpringRevision/WEB-INF/classes/com/servlet/FirstServlet.java HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [20/Mar/2024:03:32:16 +0530] "GET /SpringRevision//FirstServlet.java HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [20/Mar/2024:03:32:19 +0530] "GET /SpringRevision//FirstServlet.java HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [20/Mar/2024:03:32:41 +0530] "GET /SpringRevision/web HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [20/Mar/2024:03:32:45 +0530] "GET /SpringRevision/web HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [20/Mar/2024:03:32:46 +0530] "GET /SpringRevision/web HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [20/Mar/2024:03:32:47 +0530] "GET /SpringRevision/web HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [20/Mar/2024:03:32:47 +0530] "GET /SpringRevision/web HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [20/Mar/2024:03:32:48 +0530] "GET /SpringRevision/web HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [20/Mar/2024:03:39:52 +0530] "GET /SpringRevision/WEB-INF/classes/com/servlet/FirstServlet.java HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [20/Mar/2024:03:39:55 +0530] "GET /SpringRevision/web HTTP/1.1" 200 35
0:0:0:0:0:0:0:1 - - [20/Mar/2024:03:40:18 +0530] "GET /index.html HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [20/Mar/2024:03:40:34 +0530] "GET /SpringRevision/index.html HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [20/Mar/2024:03:40:38 +0530] "GET /SpringRevision/index HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [20/Mar/2024:03:40:46 +0530] "GET /index HTTP/1.1" 404 756
0:0:0:0:0:0:0:1 - - [20/Mar/2024:03:47:52 +0530] "GET /SpringRevision/WEB-INF/index.html HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [20/Mar/2024:03:48:43 +0530] "GET /SpringRevision/WEB-INF/index.html HTTP/1.1" 404 682
